HIP_Circ,Seat_Back_Angle,Calf_Left,Calf_Right,Across_Back,NeckBase_Circ,CHEST_Circ,Neck_Circ,TrouserWaist_Height_Back,TrouserWAIST_Circ,MaxWAIST_Circ,Shoulder_to_Shoulder,Across_Front,CrotchLength_Front,CrotchLength_Back,Thigh_Circ,Knee_Circ,Calf_Circ,Outseam,Inseam,Knee_Height,Shoulder_Length,Shoulder_to_Wrist,Bicep_Circ,Elbow_Circ,Wrist_Circ,Shoulder_Slope_Left,Shoulder_Slope_Right,Joints,Landmarks,CROTCH_Height,Head_Top_Height,NECK_Height,MaxWaist_Height,TrouserWaist_Height_Front,Ankle_Girth_Left,Ankle_Girth_Right,Calf_Height,Ankle_Height,Ankle_Circ,Thigh_Height,Shoulder_Width_thruTheBody,Hip_Width_ThruTheBody,Overarm_Width_ThruTheBody
1205,16,428.0,435.0,430.0,453.0,1134.0,406.0,1078.0,1135.0,1194.0,482,406,283.0,367.0,638,411,432,1046.0,833,285,148,624,362,283,170,65.0,65.0,18,27,821,1805,1631.0,1116.0,1058.0,258.0,260.0,435,716,259,45,403,463.0,491
1002,15,377.0,382.0,399.0,412.0,1055.0,391.0,1075.0,967.0,981.0,458,421,281.0,341.0,556,387,380,1043.0,813,300,146,623,337,269,178,47.0,39.0,18,27,805,1720,1550.0,1090.0,1055.0,264.0,261.0,440,719,262,40,401,385.0,495
1086,11,417.0,420.0,410.0,466.0,1179.0,454.0,1150.0,1174.0,1183.0,473,441,401.0,460.0,634,423,419,1117.0,791,270,153,576,371,295,192,65.0,66.0,18,27,780,1773,1583.0,1090.0,1148.0,344.0,306.0,425,689,325,40,398,408.0,487
994,18,371.0,366.0,385.0,381.0,1035.0,359.0,1042.0,855.0,870.0,434,428,264.0,326.0,589,373,368,1017.0,828,325,152,613,323,265,171,71.0,71.0,18,27,801,1663,1483.0,1046.0,1022.0,259.0,268.0,440,723,264,45,375,406.0,446
961,17,351.0,357.0,415.0,422.0,1021.0,382.0,1080.0,920.0,925.0,438,387,275.0,388.0,519,365,354,1034.0,788,290,127,644,301,256,174,45.0,39.0,18,27,780,1716,1525.0,1065.0,1078.0,264.0,258.0,430,693,261,40,381,379.0,467
1005,17,386.0,391.0,396.0,446.0,1093.0,418.0,994.0,935.0,906.0,478,455,269.0,352.0,597,384,389,951.0,738,260,153,546,378,294,176,55.0,57.0,18,27,727,1692,1490.0,1067.0,992.0,263.0,259.0,410,641,261,40,415,395.0,486
1017,15,368.0,372.0,388.0,413.0,973.0,382.0,1082.0,945.0,951.0,425,381,253.0,319.0,585,380,370,1054.0,851,325,134,605,310,262,166,52.0,53.0,18,27,842,1799,1615.0,1077.0,1062.0,262.0,252.0,460,735,257,40,371,395.0,429
1014,19,385.0,382.0,361.0,414.0,962.0,358.0,1066.0,928.0,913.0,442,392,246.0,306.0,606,394,383,1038.0,861,340,132,638,327,269,171,46.0,50.0,18,27,851,1824,1594.0,1091.0,1046.0,254.0,254.0,500,756,254,40,378,398.0,447
976,18,375.0,371.0,363.0,416.0,1083.0,406.0,1066.0,871.0,905.0,424,467,276.0,358.0,564,366,373,1030.0,809,305,139,562,334,265,145,38.0,33.0,18,27,796,1686,1503.0,1106.0,1048.0,270.0,239.0,465,718,254,35,383,374.0,444
988,15,375.0,377.0,385.0,422.0,921.0,382.0,978.0,902.0,915.0,430,365,258.0,324.0,578,403,376,951.0,763,275,137,597,315,271,165,63.0,70.0,18,27,750,1684,1458.0,980.0,958.0,247.0,251.0,385,664,249,35,362,383.0,440
953,19,367.0,366.0,376.0,425.0,969.0,376.0,1071.0,855.0,829.0,449,390,243.0,337.0,546,359,366,1042.0,835,315,138,620,303,258,163,64.0,57.0,18,27,826,1735,1566.0,1201.0,1067.0,247.0,273.0,465,740,260,40,387,370.0,459
1054,18,410.0,414.0,323.0,423.0,1122.0,387.0,1047.0,995.0,1018.0,483,439,268.0,335.0,650,427,412,1018.0,822,315,150,612,378,287,175,64.0,68.0,18,27,812,1784,1547.0,1052.0,1027.0,266.0,268.0,435,732,267,45,402,407.0,479
1053,17,382.0,385.0,389.0,418.0,1062.0,391.0,1089.0,940.0,926.0,447,412,258.0,339.0,604,396,383,1061.0,861,330,164,640,326,270,160,67.0,63.0,18,27,848,1774,1573.0,1138.0,1087.0,298.0,279.0,465,773,288,45,383,420.0,453
939,17,350.0,351.0,401.0,390.0,993.0,358.0,1149.0,899.0,860.0,416,368,277.0,315.0,543,365,350,1120.0,900,325,123,659,301,249,154,42.0,40.0,18,27,890,1824,1642.0,1195.0,1130.0,260.0,255.0,500,806,257,40,357,368.0,428
1053,21,371.0,379.0,414.0,434.0,1136.0,409.0,1077.0,1024.0,1033.0,473,448,261.0,361.0,530,393,375,1031.0,805,300,152,610,351,291,184,48.0,61.0,18,27,797,1789,1584.0,1127.0,1057.0,265.0,271.0,420,708,268,40,405,382.0,492
1104,24,412.0,412.0,373.0,423.0,1007.0,388.0,1116.0,929.0,941.0,429,403,301.0,389.0,655,418,412,1088.0,855,325,135,654,353,275,187,38.0,42.0,18,27,845,1805,1612.0,1105.0,1096.0,284.0,285.0,475,757,284,45,391,427.0,471
1040,11,372.0,384.0,439.0,431.0,1070.0,388.0,1117.0,988.0,922.0,463,414,271.0,369.0,604,388,378,1089.0,871,325,133,629,346,277,166,52.0,48.0,18,27,863,1783,1588.0,1168.0,1115.0,269.0,277.0,490,773,273,40,390,409.0,496
1142,20,441.0,448.0,454.0,463.0,1253.0,444.0,1049.0,996.0,987.0,502,438,305.0,386.0,664,425,445,1018.0,769,285,154,602,410,318,198,69.0,67.0,18,27,762,1761,1549.0,1092.0,1029.0,278.0,281.0,415,669,280,35,410,441.0,513
1057,22,374.0,368.0,351.0,346.0,938.0,311.0,1021.0,837.0,713.0,386,358,283.0,388.0,586,365,371,996.0,748,270,127,568,290,247,159,40.0,53.0,18,27,738,1616,1413.0,1068.0,1019.0,239.0,240.0,400,655,240,40,345,413.0,402
1062,19,388.0,400.0,435.0,479.0,1173.0,435.0,1106.0,997.0,997.0,484,440,275.0,349.0,590,405,394,1072.0,862,315,153,608,384,295,184,70.0,47.0,18,27,841,1793,1614.0,1111.0,1087.0,275.0,290.0,460,755,283,40,412,425.0,503
1000,25,364.0,372.0,383.0,378.0,1016.0,355.0,1138.0,888.0,834.0,434,398,286.0,352.0,553,384,368,1109.0,892,360,128,640,293,250,164,41.0,35.0,18,27,883,1719,1565.0,1233.0,1136.0,279.0,266.0,515,796,273,40,376,392.0,449
944,17,345.0,346.0,314.0,364.0,815.0,332.0,980.0,738.0,633.0,333,294,233.0,319.0,534,346,345,953.0,743,290,96,578,269,210,144,42.0,57.0,18,27,730,1580,1408.0,1055.0,978.0,241.0,259.0,420,650,250,40,296,385.0,352
1017,17,377.0,371.0,431.0,433.0,1059.0,394.0,1119.0,935.0,934.0,478,405,334.0,378.0,571,376,374,1090.0,826,290,147,669,358,272,176,67.0,56.0,18,27,818,1741,1585.0,1068.0,1117.0,279.0,266.0,445,728,272,40,401,404.0,499
1057,19,384.0,400.0,407.0,434.0,1126.0,411.0,1022.0,1001.0,1040.0,475,428,270.0,356.0,623,391,392,983.0,771,280,148,610,386,284,186,66.0,66.0,18,27,760,1702,1518.0,1010.0,1002.0,278.0,276.0,410,668,277,40,389,400.0,468
1053,9,388.0,409.0,446.0,459.0,1204.0,421.0,1091.0,1023.0,1066.0,501,466,259.0,360.0,556,393,399,1046.0,829,320,153,607,338,284,184,50.0,55.0,18,27,817,1722,1552.0,1107.0,1072.0,277.0,275.0,450,733,276,40,428,389.0,514
1080,17,414.0,420.0,426.0,392.0,1089.0,360.0,1105.0,959.0,976.0,440,389,304.0,352.0,609,417,417,1082.0,839,305,136,627,353,297,179,55.0,47.0,18,27,831,1762,1598.0,1151.0,1085.0,273.0,277.0,460,746,275,40,370,409.0,463
953,22,346.0,349.0,437.0,451.0,1083.0,408.0,1059.0,889.0,888.0,453,410,258.0,369.0,564,374,347,1012.0,781,300,142,603,349,272,181,55.0,60.0,18,27,773,1677,1486.0,1048.0,1057.0,254.0,254.0,425,686,254,40,394,374.0,501
